date,open,high,low,close,volume,market_cap,daily_return,log_return,volatility
2020-01-01,217.49,217.51,198.06,210.43,20058,4220804.94,,,
2020-01-02,208.82,222.02,195.67,208.17,84637,17618884.29,-0.010739913510431132,-0.010798002670964967,
2020-01-03,222.05,230.98,205.32,221.62,88033,19509873.46,0.06461065475332672,0.0626091499286123,
2020-01-04,256.99,262.98,243.48,252.58,80194,20255400.52,0.13969858316036454,0.13076382670984457,
2020-01-05,256.18,253.76,235.14,248.4,86917,21590182.8,-0.016549212130810065,-0.01668768015870034,
2020-01-06,253.78,253.61,236.87,244.22,74200,18121124.0,-0.0168276972624799,-0.016970891654447946,
2020-01-07,280.62,286.46,271.57,276.3,56619,15643829.700000001,0.1313569732208666,0.1234177735244952,
2020-01-08,293.54,301.51,273.18,292.15,27154,7933041.1,0.0573651827723487,0.055780137071075,0.16963676215018475
2020-01-09,276.12,290.31,271.42,283.26,29539,8367217.14,-0.030429573849050096,-0.03090216521419561,0.17856696442814654
2020-01-10,295.62,306.05,281.39,294.61,70058,20639787.380000003,0.040069194379721784,0.03928724399748039,0.17724977391385865
2020-01-11,286.92,291.23,281.24,285.84,72068,20599917.119999997,-0.02976816808662308,-0.03022023406857653,0.1532689111380112
2020-01-12,276.04,281.23,264.48,277.03,87313,24188320.389999997,-0.030821438567030568,-0.03130641014309191,0.15772472439030186
2020-01-13,285.53,295.92,263.48,282.37,40373,11400124.01,0.01927589069775859,0.0190924641093573,0.15309559573090384
2020-01-14,250.21,257.69,235.99,244.6,43154,10555468.4,-0.13376066862627056,-0.14359404442834767,0.17538446907617353
2020-01-15,206.51,214.07,206.88,210.6,16031,3376128.6,-0.13900245298446445,-0.14966362355319687,0.1946336641301148
2020-01-16,195.69,200.71,188.94,199.86,81975,16383523.500000002,-0.05099715099715085,-0.05234347826623169,0.19377493253609823
2020-01-17,179.41,185.06,175.28,180.1,32785,5904578.5,-0.09886920844591218,-0.10410486925173294,0.16821412620073425
2020-01-18,183.81,196.25,184.68,186.89,88928,16619753.919999998,0.0377012770682954,0.037007956300300814,0.19774646959905276
2020-01-19,161.02,185.0,162.9,169.23,38669,6543954.869999999,-0.09449408743110921,-0.09926147206221678,0.19763750630076501
2020-01-20,136.5,150.72,133.94,141.48,12282,1737657.3599999999,-0.16397801808190038,-0.17910037208271457,0.19222582505765484
2020-01-21,165.13,177.45,166.23,171.29,44624,7643644.96,0.21070115917444165,0.19119966217261375,0.3376164546049651
2020-01-22,173.32,178.02,150.65,167.28,58438,9775508.64,-0.023410590227100236,-0.02368897138951546,0.3175254320549613
2020-01-23,177.64,178.56,149.68,169.13,99900,16896087.0,0.011059301769488217,0.01099859486557244,0.3193129016869274
2020-01-24,135.66,144.23,128.04,141.13,77534,10942373.42,-0.16555312481523088,-0.18098619856003503,0.34966896335266173
2020-01-25,133.48,133.87,118.82,130.75,41705,5452928.75,-0.07354920994827463,-0.0763943484808833,0.34076233771999576
2020-01-26,137.83,136.72,124.17,133.46,48244,6438644.24,0.020726577437858662,0.02051470453042836,0.3420330433112261
2020-01-27,103.48,133.34,105.43,110.94,84964,9425906.16,-0.16873969728757687,-0.18481229284837208,0.34489727989861113
2020-01-28,119.76,133.26,100.94,118.96,47437,5643105.52,0.07229132864611487,0.06979778752481101,0.26399022103046726
2020-01-29,120.11,114.48,97.76,107.45,87872,9441846.4,-0.09675521183591118,-0.10176167906338011,0.2657328011550937
2020-01-30,105.5,117.65,94.42,102.11,84878,8666892.58,-0.04969753373662167,-0.050974959521072845,0.2524284639461748
2020-01-31,89.35,97.74,75.5,90.58,82982,7516509.56,-0.11291744197434139,-0.11981722543937878,0.2278574419255328
2020-02-01,125.32,143.5,118.49,128.12,60583,7761893.96,0.4144402737911239,0.3467338866128896,0.4669877535292301
2020-02-02,118.24,138.75,113.47,128.35,48392,6211113.2,0.0017951920074927852,0.0017935825761918312,0.46626720165483104
2020-02-03,110.05,114.4,99.75,107.7,17461,1880549.7,-0.1608881963381379,-0.1754113231548065,0.46212753062380046
2020-02-04,134.39,138.05,109.56,124.65,20516,2557319.4,0.15738161559888586,0.14616022580722407,0.4822696727206528
2020-02-05,96.67,111.42,85.83,100.73,89285,8993678.05,-0.1918973124749298,-0.21306614001497715,0.522622963567471
2020-02-06,95.73,117.4,88.79,105.41,27514,2900250.7399999998,0.04646083589794503,0.0454138383125081,0.5225283911064577
2020-02-07,63.4,77.79,60.26,66.72,46268,3087000.96,-0.36704297504980554,-0.45735275021660654,0.6963553643737405
