Date,Open,High,Low,Close,Volume,Market Cap
2020-01-01,217.49,217.51,198.06,210.43,20058,4220890.85
2020-01-02,208.82,222.02,195.67,208.17,84637,17618799.4
2020-01-03,222.05,230.98,205.32,221.62,88033,19510117.12
2020-01-04,256.99,262.98,243.48,252.58,80194,20255670.37
2020-01-05,256.18,253.76,235.14,248.4,86917,21590208.65
2020-01-06,253.78,253.61,236.87,244.22,74200,18120942.83
2020-01-07,280.62,286.46,271.57,276.3,56619,15643932.44
2020-01-08,293.54,301.51,273.18,292.15,27154,7933054.93
2020-01-09,276.12,290.31,271.42,283.26,29539,8367247.31
2020-01-10,295.62,306.05,281.39,294.61,70058,20639943.07
2020-01-11,286.92,291.23,281.24,285.84,72068,20600195.91
2020-01-12,276.04,281.23,264.48,277.03,87313,24188256.95
2020-01-13,285.53,295.92,263.48,282.37,40373,11400064.21
2020-01-14,250.21,257.69,235.99,244.6,43154,10555594.15
2020-01-15,206.51,214.07,206.88,210.6,16031,3376201.66
2020-01-16,195.69,200.71,188.94,199.86,81975,16383425.68
2020-01-17,179.41,185.06,175.28,180.1,32785,5904650.11
2020-01-18,183.81,196.25,184.68,186.89,88928,16619498.78
2020-01-19,161.02,185.0,162.9,169.23,38669,6543825.31
2020-01-20,136.5,150.72,133.94,141.48,12282,1737664.43
2020-01-21,165.13,177.45,166.23,171.29,44624,7643803.41
2020-01-22,173.32,178.02,150.65,167.28,58438,9775393.21
2020-01-23,177.64,178.56,149.68,169.13,99900,16895946.03
2020-01-24,135.66,144.23,128.04,141.13,77534,10942654.49
2020-01-25,133.48,133.87,118.82,130.75,41705,5452760.71
2020-01-26,137.83,136.72,124.17,133.46,48244,6438857.6
2020-01-27,103.48,133.34,105.43,110.94,84964,9426292.82
2020-01-28,119.76,133.26,100.94,118.96,47437,5643034.9
2020-01-29,120.11,114.48,97.76,107.45,87872,9441471.84
2020-01-30,105.5,117.65,94.42,102.11,84878,8667050.66
2020-01-31,89.35,97.74,75.5,90.58,82982,7516321.21
2020-02-01,125.32,143.5,118.49,128.12,60583,7762093.52
2020-02-02,118.24,138.75,113.47,128.35,48392,6211275.29
2020-02-03,110.05,114.4,99.75,107.7,17461,1880534.52
2020-02-04,134.39,138.05,109.56,124.65,20516,2557320.0
2020-02-05,96.67,111.42,85.83,100.73,89285,8993959.84
2020-02-06,95.73,117.4,88.79,105.41,27514,2900262.52
2020-02-07,63.4,77.79,60.26,66.72,46268,3086863.34
2020-02-08,45.06,51.68,31.07,40.65,46788,1902086.81
2020-02-09,42.95,59.09,25.35,45.09,85749,3866467.79
2020-02-10,56.26,83.28,51.59,60.36,71049,4288507.75
2020-02-11,64.38,80.53,50.23,64.29,72493,4660373.91
2020-02-12,63.62,73.57,41.02,62.47,46027,2875502.8
2020-02-13,50.01,65.4,56.2,56.95,52849,3009866.13
2020-02-14,26.8,36.88,19.28,27.88,27858,776729.71
2020-02-15,11.5,17.7,3.98,13.98,94162,1316842.67
2020-02-16,2.07,18.59,4.27,5.27,89003,469231.61
2020-02-17,21.83,31.84,19.19,26.91,62395,1679332.23
2020-02-18,38.99,42.42,29.14,34.29,49758,1706047.46
2020-02-19,-3.7,12.88,-14.76,-0.47,64312,-30477.79
2020-02-20,-3.47,15.32,5.17,6.51,78670,511966.59
2020-02-21,0.63,6.84,-20.14,-0.69,92279,-64029.77
2020-02-22,-10.11,-9.72,-27.18,-13.73,25434,-349267.61
2020-02-23,-4.98,15.03,-5.73,-1.0,74047,-73957.09
2020-02-24,17.32,25.96,4.99,20.12,57775,1162502.6
2020-02-25,36.0,46.32,26.26,39.25,85769,3366159.4
2020-02-26,21.23,24.0,13.16,22.96,76677,1760692.29
2020-02-27,22.81,27.18,10.89,17.28,93555,1616462.86
2020-02-28,23.83,32.74,11.67,24.4,95920,2340781.59
2020-02-29,48.61,55.32,33.8,44.41,55734,2475391.07
2020-03-01,30.49,39.46,28.78,35.33,98503,3480199.21
2020-03-02,30.2,45.79,28.83,32.12,50603,1625252.78
2020-03-03,15.26,11.29,4.74,10.49,86708,909655.06
2020-03-04,-16.96,-3.39,-20.42,-12.93,91926,-1188889.62
2020-03-05,8.88,14.39,-12.0,3.82,78803,300822.61
2020-03-06,28.3,41.73,17.14,31.44,49332,1551106.66
2020-03-07,28.89,41.29,22.75,30.5,31312,955078.58
2020-03-08,59.42,65.02,43.13,51.07,94526,4827693.94
2020-03-09,56.63,75.43,43.85,58.81,54179,3186016.53
2020-03-10,47.13,55.62,35.07,46.4,81442,3779151.66
2020-03-11,57.21,59.29,42.86,54.13,50379,2727060.32
2020-03-12,86.52,98.2,78.91,85.39,27297,2330935.2
2020-03-13,86.45,93.77,75.79,85.18,12011,1023038.18
2020-03-14,116.69,133.29,106.95,116.97,54014,6317908.35
2020-03-15,58.56,72.06,55.53,65.07,21738,1414558.52
2020-03-16,83.75,87.72,68.34,82.01,57498,4715475.71
2020-03-17,80.59,94.97,70.43,84.25,21120,1779403.66
2020-03-18,82.65,80.07,73.37,78.77,18767,1478312.63
2020-03-19,87.97,88.77,73.61,81.11,32852,2664531.62
2020-03-20,32.83,50.21,35.29,41.86,89239,3735165.93
2020-03-21,44.83,49.06,21.02,37.96,10929,414890.19
2020-03-22,43.55,50.62,24.34,45.6,87487,3989807.11
2020-03-23,75.01,81.26,67.98,75.66,27438,2076026.36
2020-03-24,61.24,81.58,56.63,65.8,58515,3850114.24
2020-03-25,51.07,60.06,35.92,50.13,15744,789202.25
2020-03-26,40.93,54.92,34.13,40.59,93820,3808344.69
2020-03-27,64.78,66.69,45.08,59.4,52417,3113573.84
2020-03-28,62.77,76.2,56.58,66.48,17069,1134663.47
2020-03-29,64.68,67.45,55.1,56.38,52359,2951994.93
2020-03-30,70.47,85.88,63.65,67.15,29799,2000861.12
2020-03-31,70.04,78.5,61.28,69.59,80188,5580025.9
2020-04-01,88.56,98.63,73.34,89.46,99859,8933355.64
2020-04-02,74.39,91.41,70.38,75.92,17597,1335940.18
2020-04-03,68.66,77.97,62.54,69.87,57093,3988824.7
2020-04-04,63.37,73.95,51.47,62.52,47226,2952721.91
2020-04-05,32.71,48.81,32.1,33.75,82127,2772026.7
